State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn,Total Charge
KS,128,415,No,Yes,25,265.1,110.0,45.07,197.4,99.0,16.78,91.0,11.01,10.0,3,2.7,1.0,False,56.08
OH,107,415,No,Yes,26,161.6,123.0,27.47,195.5,103.0,16.62,103.0,11.45,13.7,3,3.7,1.0,False,60.0
NJ,137,415,No,No,0,243.4,114.0,41.38,121.2,110.0,10.3,104.0,7.32,12.2,5,3.29,0.0,False,48.7
OH,84,408,Yes,No,0,299.4,71.0,50.9,61.9,88.0,5.26,89.0,8.86,6.6,7,1.78,2.0,False,59.76
OK,75,415,Yes,No,0,166.7,113.0,28.34,148.3,122.0,12.61,121.0,8.41,10.1,3,2.73,3.0,False,36.75
AL,118,510,Yes,No,0,223.4,98.0,37.98,220.6,101.0,18.75,118.0,9.18,6.3,6,1.7,0.0,False,47.16
MO,147,415,Yes,No,0,157.0,79.0,26.69,103.1,94.0,8.76,96.0,9.53,7.1,6,1.92,0.0,False,36.22
LA,117,408,No,No,0,184.5,97.0,31.37,351.6,80.0,29.89,90.0,9.71,8.7,4,2.35,1.0,False,41.08
WV,141,415,Yes,Yes,37,258.6,84.0,43.96,222.0,111.0,18.87,97.0,14.69,11.2,5,3.02,0.0,False,58.65
IN,65,415,No,No,0,129.1,137.0,21.95,228.5,83.0,19.42,111.0,9.4,12.7,6,3.43,4.0,True,31.35
RI,74,415,No,No,0,187.7,127.0,31.91,163.4,148.0,13.89,94.0,8.82,9.1,5,2.46,0.0,False,40.730000000000004
SC,111,415,No,No,0,110.4,103.0,18.77,137.3,102.0,11.67,105.0,8.53,7.7,6,2.08,2.0,False,27.299999999999997
VA,132,510,No,No,0,81.1,86.0,13.79,245.2,72.0,20.84,115.0,10.67,10.3,2,2.78,0.0,False,24.46
NE,174,415,No,No,0,124.3,76.0,21.13,277.1,112.0,23.55,115.0,11.28,15.5,5,4.19,3.0,False,32.41
WY,57,408,No,Yes,39,213.0,115.0,36.21,191.1,112.0,16.24,115.0,8.22,9.5,3,2.57,0.0,False,44.43
MT,54,408,No,No,0,134.3,73.0,22.83,155.5,100.0,13.22,68.0,4.59,14.7,4,3.97,3.0,False,27.419999999999998
MO,20,415,No,No,0,190.0,109.0,32.3,258.2,84.0,21.95,102.0,8.17,6.3,6,1.7,0.0,False,40.47
IL,142,415,No,No,0,84.8,95.0,14.42,136.7,63.0,11.62,148.0,11.27,14.2,6,3.83,2.0,False,25.689999999999998
NJ,149,408,No,No,0,140.4,94.0,23.87,271.8,92.0,23.1,108.0,8.47,11.1,9,3.0,1.0,False,32.34
GA,98,408,No,No,0,126.3,102.0,21.47,166.8,85.0,14.18,135.0,8.45,9.4,2,2.54,3.0,False,29.919999999999998
